readTime,saveTime,registrationTime,transformationTime,total,caseName
0.3286024,31.570385,59.9282715,4.062377,95.8896359,copd1
0.3692958,23.4377645,56.6528629,3.6896862,84.1496094,copd2
0.3221561,29.608056,66.842306,4.3952222,101.1677403,copd3
0.4924015,29.477821,63.1373624,4.4755387,97.5831236,copd4
