readTime,saveTime,registrationTime,transformationTime,total,caseName
0.3265616,26.4913608,23.7997619,4.3674883,54.9851726,copd1
0.3846176,21.0238986,16.8251498,3.8871776,42.1208436,copd2
0.4655173,32.8248208,23.3658212,4.4110668,61.0672261,copd3
0.4627458,35.0519831,23.6595818,4.3565555,63.5308662,copd4
